,Pos,Salary,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference,Division,FG&
133,SG,1782621.0,21.0,OKC,52.0,52.0,20.094890510948904,4.8,12.3,0.387,2.2,6.3,0.343,2.249285714285714,6.0,0.432,0.475,2.3,3.2,0.754476923076923,0.7,3.0129496402877693,3.6,1.7,0.9,0.44592592592592595,1.5,2.6,14.0,Western Conference,Central Division,0.387
134,SG,9100448.459183674,26.0,ORL,46.0,7.0,19.7,2.6,6.4,0.406,1.0,3.5,0.289,1.6,2.9,0.545,0.485,0.5,0.8,0.667,0.1,1.9,2.0,2.0,0.3,0.1,0.9,0.9,6.7,Eastern Conference,Central Division,0.406
135,PG,9100448.459183674,21.0,CHI,11.0,0.0,4.5,1.0,1.9,0.524,0.1,2.7007246376811596,0.143,0.9,1.3,0.49312408759124093,0.548,0.0,0.0,0.754476923076923,0.2,0.3,0.5,0.6,0.4,0.0,0.0,0.3,2.1,Eastern Conference,Central Division,0.524
136,PF,9100448.459183674,20.0,DET,56.0,11.0,15.5,1.9,5.0,0.379,0.5,2.7007246376811596,0.226,1.4,3.0,0.49312408759124093,0.426,0.8,1.8856115107913671,0.703,0.7,1.9,2.6,0.8,0.4,0.44592592592592595,0.8,1.7,5.1,Eastern Conference,Central Division,0.379
137,SG,1910860.0,24.0,DEN,6.0,6.0,21.8,3.28,7.1,0.417,0.9,3.0,0.2928267716535433,2.0,4.1,0.49,0.483,0.8,1.3,0.636,0.7,3.0129496402877693,3.6,1.8,0.6,0.4,0.9,1.7,7.7,Western Conference,Northwest Division,0.417
138,PG,20168742.0,34.0,MIA,34.77922077922078,,26.7,4.8,11.1,0.432,1.8,4.9,0.2928267716535433,2.249285714285714,6.2,0.479,0.5006492537313433,2.0,2.4,0.828,0.5,3.0129496402877693,3.4,4.4,0.7,0.2,1.0654676258992806,2.3,13.4,Eastern Conference,Southeast Division,0.432
139,C,2401537.0,27.0,CLE,25.0,25.0,28.9,7.2,15.2,0.474,0.0,0.3,0.0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4.0,3.0129496402877693,13.5,2.6,1.6,1.2,3.2,2.8,17.5,Eastern Conference,Central Division,0.474
140,C,2401537.0,27.0,LAL,21.0,21.0,24.8,4.9,9.1,0.531,0.9538461538461539,0.0,0.2928267716535433,4.9,9.1,0.531,0.531,2.2,3.6,0.605,3.1,3.0129496402877693,10.2,1.4,1.1,1.0,2.0,3.8,11.9,Western Conference,Pacific Division,0.531
141,,9100448.459183674,35.0,LAL,12.0,0.0,6.8,0.2,0.8,0.222,0.2,2.7007246376811596,0.333,0.0,0.3,0.49312408759124093,0.333,0.0,0.0,0.754476923076923,0.3,1.4,1.8,0.4,0.1,0.1,1.0654676258992806,0.6,0.5,Western Conference,Pacific Division,0.222
142,PG,9100448.459183674,26.0,ORL,4.0,0.0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.5006492537313433,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.44592592592592595,0.8,2.5,1.3,Eastern Conference,Southeast Division,0.083
144,PG,76744.0,22.0,BOS,31.0,1.0,8.9,1.5,7.287769784172662,,0.6,2.0,0.286,0.9,1.5,0.604,0.505,0.4,0.4,0.846,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,4.0,Eastern Conference,Central Division,0.4327323943661972
145,SF,1517981.0,20.0,ORL,30.0,0.0,6.4,3.28,2.2,0.379,0.2,1.1,0.206,0.6,4.4875,0.563,0.432,0.4,0.5,0.754476923076923,0.4,0.7,1.1,0.3,0.2,0.1,0.2,0.9,2.3,Western Conference,Northwest Division,0.379
146,PF,9100448.459183674,24.0,TOR,2.0,0.0,19.0,2.5,7.0,0.357,0.9538461538461539,4.5,0.222,1.5,2.5,0.49312408759124093,0.429,1.5,2.0,0.75,1.5,4.5,6.0,2.5,0.0,0.0,0.0,3.5,7.5,Eastern Conference,Atlantic Division,0.357
147,SG,2641691.0,33.0,DET,46.0,31.0,22.0,3.2,7.3,0.441,0.9538461538461539,6.0,0.2928267716535433,0.7,1.4,0.524,0.612,0.6,0.8,0.8,0.3,1.6,1.8,1.5,0.4,0.44592592592592595,0.7,1.3,9.6,Eastern Conference,Central Division,0.441
148,C,31579390.0,26.0,PHI,51.0,51.0,31.1,9.0,17.6,0.513,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,8.87410071942446,Eastern Conference,Atlantic Division,0.513
149,SF,9100448.459183674,30.0,ORL,37.0,37.0,24.0,2.8,5.9,0.473,1.1,2.5,0.2928267716535433,2.249285714285714,3.4,0.504,0.566,1.7,2.1,0.805,1.0,3.0,4.0,1.5,0.8,0.2,0.9,2.0,8.4,Eastern Conference,Southeast Division,0.473
150,C,9100448.459183674,23.0,SAS,54.0,3.0,14.0,2.1,3.8,0.566,0.0,0.0,0.0,2.1,3.8,0.562,0.571,1.4,2.0,0.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8,Western Conference,Southwest Division,0.566
151,SG,9100448.459183674,25.0,CLE,6.0,3.0,20.094890510948904,3.28,4.3,0.385,0.3,1.8,0.2928267716535433,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.6340579710144928,0.3,1.0654676258992806,1.5,3.8,Eastern Conference,Central Division,0.385
152,C,9100448.459183674,25.0,BOS,19.0,0.0,7.2,1.1,1.5,0.724,0.9538461538461539,0.0,0.2928267716535433,1.1,1.5,0.724,0.5006492537313433,0.3,0.8,0.754476923076923,0.8,1.9,2.7,0.2,0.1,0.44592592592592595,0.3,1.2,2.5,Eastern Conference,Atlantic Division,0.724
153,C,9720900.0,29.0,UTA,68.0,0.0,15.3,2.3,3.6,0.638,0.0,0.0,0.0,2.249285714285714,3.5,0.643,0.638,0.9,1.2,0.738,2.0,3.5,5.5,0.6,0.5,1.0,0.5,2.1,5.4,Eastern Conference,Northwest Division,0.638
154,C,9100448.459183674,28.0,CHI,18.0,,4.7,0.4,7.287769784172662,0.538,0.0,2.7007246376811596,0.0,0.4,0.6,0.636,0.538,0.5,0.9,0.754476923076923,0.974468085106383,0.9,1.4,0.5,0.2,0.0,1.0654676258992806,0.6,1.3,Eastern Conference,Central Division,0.538
155,SG,9100448.459183674,22.0,PHI,13.0,0.0,3.8,0.1,7.287769784172662,0.143,0.0,0.4,0.2928267716535433,0.1,0.2,0.5,0.143,1.4921428571428574,0.0,0.754476923076923,0.0,0.1,3.972413793103448,0.2,0.1,0.0,0.3,0.5,0.2,Eastern Conference,Atlantic Division,0.143
156,C,1782621.0,22.0,ATL,33.0,0.0,6.8,0.5,1.3,0.409,0.0,0.1,0.0,0.5,1.3,0.429,0.409,0.5,0.7,0.754476923076923,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5,Eastern Conference,Southeast Division,0.409
157,PG,9100448.459183674,27.0,CLE,2.0,0.0,20.094890510948904,4.0,10.5,0.381,1.5,4.5,0.333,2.5,6.0,0.417,0.452,0.0,1.8856115107913671,0.754476923076923,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5,Eastern Conference,Central Division,0.381
